,Date,Transaction,Name,Amount,Vendor
46,12/29/2017,DEBIT,DEBIT PURCHASE -VISA AMAZON.COM AMZN.AMZN.COM/BILWA,-9.21,Amazon
47,12/29/2017,DEBIT,DEBIT PURCHASE -VISA Amazon.com      AMZN.COM/BILWA,-13.76,Amazon
48,1/2/2018,DEBIT,DEBIT PURCHASE -VISA PP*HUMBLEBUNDL H402-935-7733CA,-12.0,Humble
49,1/2/2018,DEBIT,DEBIT PURCHASE -VISA TWC*TIMEWARNERCA513-469-1112OH,-90.59,Time Warner
50,1/2/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-18.95,Kroger
51,1/2/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-10.2,Kroger
52,1/2/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-18.01,Kroger
53,1/3/2018,DEBIT,DEBIT PURCHASE -VISA Steamgames.com42425-9522985 WA,-29.99,Steam
54,1/3/2018,DEBIT,DEBIT PURCHASE -VISA BLIZZARD ENTERTA949-955-1380CA,-14.99,North Li
55,1/3/2018,DEBIT,WEB AUTHORIZED PMT PL*LeinbachCompa,-731.31,Leinbach Rent
56,1/4/2018,DEBIT,DEBIT PURCHASE COSTCO WHSE #115LEXINGTON   KY,-11.65,Costco
57,1/4/2018,DEBIT,DEBIT PURCHASE Wal-Mart Store  LEXINGTON (SKY,-104.06,Wal-Mart
58,1/4/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-47.11,Kroger
59,1/4/2018,DEBIT,DEBIT PURCHASE -VISA KROGER FUEL #872LEXINGTON   KY,-32.68,Kroger
60,1/5/2018,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,791.33,Conduent
61,1/5/2018,DEBIT,DEBIT PURCHASE -VISA BOYD THORNTON   LEXINGTON   KY,-67.0,Boyd Thornton
62,1/5/2018,DEBIT,DEBIT PURCHASE TARGET T- 1940 PLexington   KY,-4.02,Target
63,1/8/2018,DEBIT,DEBIT PURCHASE -VISA DELTA DENTAL OF OKEMOS      MI,-25.19,Delta Dental
64,1/8/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-6.57,Kroger
65,1/8/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-34.96,Kroger
66,1/8/2018,DEBIT,DEBIT PURCHASE -VISA PP*HUMBLEBUNDL H402-935-7733CA,-8.0,Humble
67,1/9/2018,DEBIT,DEBIT PURCHASE - VISA Spotify USA     646-8375380 NY,-5.29,Spotify
68,1/9/2018,DEBIT,DEBIT PURCHASE - VISA AmazonPrime Membamzn.com/prmWA,-11.65,Amazon
69,1/10/2018,DEBIT,DEBIT PURCHASE KROGER    3101 RLEXINGTON   KY,-12.99,Kroger
70,1/16/2018,DEBIT,DEBIT PURCHASE -VISA SUITE SOLUTIONS 419-4756538 OH,-70.82,Suite Solutions
71,1/16/2018,DEBIT,DEBIT PURCHASE -VISA USA*AVI FOOD SYSWARREN      OH,-0.9,US Bank
72,1/16/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-22.45,Kroger
73,1/16/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-4.93,Kroger
74,1/16/2018,DEBIT,DEBIT PURCHASE -VISA Amazon Digital Samzn.com/bilWA,-6.99,Amazon
75,1/16/2018,DEBIT,DEBIT PURCHASE -VISA Audible         adbl.co/billNJ,-15.85,Audible
76,1/16/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-24.04,Kroger
77,1/17/2018,CREDIT,DEBIT PURCHASE RET - VISA WALMART.COM     800-966-6546AR,46.64,Walmart
78,1/17/2018,DEBIT,DEBIT PURCHASE -VISA WALMART.COM     800-966-6546AR,-46.64,Walmart
79,1/17/2018,DEBIT,DEBIT PURCHASE KROGER 3101 RICHLEXINGTON   KY,-2.49,Kroger
80,1/18/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON.COM AMZN.AMZN.COM/BILWA,-16.95,Amazon
81,1/18/2018,DEBIT,DEBIT PURCHASE -VISA KROGER FUEL #840LEXINGTON   KY,-32.33,Kroger
82,1/18/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-12.71,Kroger
83,1/19/2018,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,825.39,Conduent
84,1/19/2018,DEBIT,WEB AUTHORIZED PMT CAPITAL ONE,-41.99,Capital One
85,1/22/2018,DEBIT,DEBIT PURCHASE -VISA THE PHYSICIANS G502-4791402 KY,-20.99,The Village Idiot
86,1/22/2018,DEBIT,DEBIT PURCHASE COSTCO WHSE #115LEXINGTON   KY,-167.81,Costco
87,1/22/2018,DEBIT,DEBIT PURCHASE -VISA CULVER'S OF LEXILEXINGTON   KY,-5.81,Dept of Education
88,1/22/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-13.77,Kroger
89,1/22/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-4.78,Kroger
90,1/22/2018,DEBIT,DEBIT PURCHASE -VISA Audible US      888-283-5051NJ,-8.33,Audible
91,1/23/2018,DEBIT,DEBIT PURCHASE -VISA BLIZZARD ENTERTA949-955-1380CA,-25.0,North Li
92,1/23/2018,DEBIT,DEBIT PURCHASE - VISA PAYPAL *MUMBLEBO402-935-7733CA,-2.19,PayPal
93,1/24/2018,DEBIT,DEBIT PURCHASE -VISA USA*AVI FOOD SYSWARREN      OH,-0.9,US Bank
94,1/24/2018,DEBIT,DEBIT PURCHASE -VISA PP*HUMBLEBUNDL  402-935-7733CA,-6.96,Humble
95,1/24/2018,DEBIT,ELECTRONIC WITHDRAWAL PARK FCU,-199.09,Park FCU
96,1/25/2018,DEBIT,DEBIT PURCHASE -VISA BLUE GRASS ENERG888-5464243 KY,-151.06,Blue Grass Energy
97,1/25/2018,DEBIT,DEBIT PURCHASE -VISA 1170 GREAT CLIPSLEXINGTON   KY,-20.0,Great Clips
98,1/26/2018,DEBIT,DEBIT PURCHASE - VISA SMITHSONIAN MAG 800-766-2149FL,-12.0,Smithsonian
99,1/29/2018,DEBIT,DEBIT PURCHASE -VISA PP*HUMBLEBUNDL H402-935-7733CA,-12.0,Humble
100,1/29/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-6.25,Kroger
101,1/31/2018,DEBIT,DEBIT PURCHASE -VISA Amazon.com      AMZN.COM/BILWA,-16.92,Amazon
102,2/2/2018,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,941.1,Conduent
103,2/5/2018,DEBIT,DEBIT PURCHASE -VISA BLIZZARD ENTERTA949-955-1380CA,-14.99,North Li
104,2/5/2018,DEBIT,DEBIT PURCHASE -VISA STEAMGAMES.COM 4425-8899642 WA,-39.99,Steam
105,2/5/2018,DEBIT,WEB AUTHORIZED PMT PL*LeinbachCompa,-732.4,Leinbach Rent
106,2/5/2018,DEBIT,DEBIT PURCHASE COSTCO WHSE #115LEXINGTON   KY,-30.78,Costco
107,2/6/2018,DEBIT,DEBIT PURCHASE -VISA DELTA DENTAL OF OKEMOS      MI,-25.19,Delta Dental
108,2/7/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON MKTPLACE AMZN.COM/BILWA,-13.99,Amazon
109,2/8/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON.COM AMZN.AMZN.COM/BILWA,-6.88,Amazon
110,2/8/2018,DEBIT,DEBIT PURCHASE -VISA WWW.NEWEGG.COM  800-390-1119CA,-816.96,NewEgg
111,2/9/2018,DEBIT,DEBIT PURCHASE - VISA Spotify USA     646-8375380 NY,-5.29,Spotify
112,2/9/2018,DEBIT,DEBIT PURCHASE - VISA AmazonPrime Membamzn.com/prmWA,-11.65,Amazon
113,2/12/2018,CREDIT,ELECTRONIC DEPOSIT IRS  TREAS 310,1762.0,IRS Refund
114,2/12/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON.COM AMZN.AMZN.COM/BILWA,-14.83,Amazon
115,2/12/2018,DEBIT,DEBIT PURCHASE -VISA KROGER FUEL #872LEXINGTON   KY,-29.9,Kroger
116,2/12/2018,DEBIT,DEBIT PURCHASE - VISA DSC*DOLLAR SHAVE866-2232780 CA,-3.0,Dollar Shave Club
117,2/13/2018,DEBIT,DEBIT PURCHASE -VISA Amazon.com      AMZN.COM/BILWA,-12.0,Amazon
118,2/15/2018,DEBIT,DEBIT PURCHASE -VISA PRIME VIDEO 888-888-802-3080WA,-6.99,Amazon Prime Video
119,2/15/2018,DEBIT,DEBIT PURCHASE -VISA Audible         adbl.co/billNJ,-15.85,Audible
120,2/16/2018,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,841.61,Conduent
121,2/20/2018,DEBIT,DEBIT PURCHASE -VISA PANDA CUISINEATS866-654-8777WI,-26.09,Air and Vacuum
122,2/20/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-17.76,Kroger
123,2/20/2018,DEBIT,DEBIT PURCHASE -VISA Steamgames.com42425-9522985 WA,-28.22,Steam
124,2/20/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-3.48,Kroger
125,2/21/2018,DEBIT,DEBIT PURCHASE -VISA WMV*OKCUPID.COM 646-450-7073TX,-29.7,OkCupid
126,2/23/2018,DEBIT,DEBIT PURCHASE - VISA PAYPAL *MUMBLEBO402-935-7733CA,-2.19,PayPal
127,2/26/2018,DEBIT,DEBIT PURCHASE -VISA SUITE SOLUTIONS 419-4756538 OH,-70.82,Suite Solutions
128,2/26/2018,DEBIT,DEBIT PURCHASE -VISA TWC*TIMEWARNERCA513-469-1112OH,-27.18,Time Warner
129,2/26/2018,DEBIT,DEBIT PURCHASE -VISA BLUE GRASS ENERG888-5464243 KY,-164.62,Blue Grass Energy
130,2/26/2018,DEBIT,DEBIT PURCHASE -VISA 1170 GREAT CLIPSLEXINGTON   KY,-20.0,Great Clips
131,2/26/2018,DEBIT,ELECTRONIC WITHDRAWAL PARK FCU,-199.09,Park FCU
132,2/27/2018,CREDIT,ELECTRONIC DEPOSIT DEPT OF REVENUE,119.0,Dept of Education
133,2/27/2018,DEBIT,DEBIT PURCHASE -VISA Amazon.com      AMZN.COM/BILWA,-115.02,Amazon
134,3/1/2018,DEBIT,DEBIT PURCHASE -VISA Amazon.com      AMZN.COM/BILWA,-33.76,Amazon
135,3/2/2018,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,750.39,Conduent
136,3/2/2018,DEBIT,DEBIT PURCHASE -VISA DNH*GODADDY.COM 480-5058855 AZ,-43.32,GoDaddy
137,3/2/2018,DEBIT,WEB AUTHORIZED PMT CAPITAL ONE,-115.9,Capital One
138,3/2/2018,DEBIT,DEBIT PURCHASE KROGER    3101 RLEXINGTON   KY,-48.14,Kroger
139,3/5/2018,DEBIT,DEBIT PURCHASE - VISA BLIZZARD ENTERTA949-955-1380CA,-14.99,North Li
140,3/5/2018,DEBIT,DEBIT PURCHASE -VISA KROGER FUEL #872LEXINGTON   KY,-32.58,Kroger
141,3/5/2018,DEBIT,DEBIT PURCHASE AT HOME #25     LEXINGTON   KY,-14.82,Lexington Sport Social Club
142,3/6/2018,DEBIT,DEBIT PURCHASE -VISA DELTA DENTAL OF OKEMOS      MI,-25.19,Delta Dental
143,3/6/2018,DEBIT,DEBIT PURCHASE -VISA Amazon Digital S888-802-3080WA,-7.94,Amazon
144,3/6/2018,DEBIT,WEB AUTHORIZED PMT PL*LeinbachCompa,-735.97,Leinbach Rent
145,3/8/2018,DEBIT,DEBIT PURCHASE -VISA STEAMGAMES.COM 4425-8899642 WA,-3.99,Steam
146,3/9/2018,DEBIT,DEBIT PURCHASE - VISA Spotify USA     646-8375380 NY,-5.29,Spotify
147,3/12/2018,DEBIT,DEBIT PURCHASE -VISA PP*HUMBLEBUNDL  402-935-7733CA,-40.49,Humble
148,3/12/2018,DEBIT,DEBIT PURCHASE -VISA LIQUOR BARN - HALEXINGTON   KY,-45.57,North Li
149,3/12/2018,DEBIT,DEBIT PURCHASE -VISA COSTCO WHSE #115LEXINGTON   KY,-44.85,Costco
150,3/12/2018,DEBIT,DEBIT PURCHASE KROGER    4750 HLEXINGTON   KY,-26.07,Kroger
151,3/14/2018,DEBIT,DEBIT PURCHASE - VISA WMV*MATCH.COM   800-326-5161TX,-65.97,Match
152,3/14/2018,DEBIT,DEBIT PURCHASE -VISA PP*HUMBLEBUNDL H402-935-7733CA,-1.0,Humble
153,3/15/2018,DEBIT,DEBIT PURCHASE -VISA Amazon Digital Samzn.com/bilWA,-6.99,Amazon
154,3/16/2018,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,749.26,Conduent
155,3/19/2018,DEBIT,DEBIT PURCHASE -VISA COSTCO WHSE #115LEXINGTON   KY,-10.99,Costco
156,3/19/2018,DEBIT,DEBIT PURCHASE COSTCO WHSE #115LEXINGTON   KY,-40.0,Costco
157,3/21/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON MKTPLACE AMZN.COM/BILWA,-45.39,Amazon
158,3/21/2018,DEBIT,DEBIT PURCHASE -VISA PAYPAL *LEXSSC C402-935-7733KY,-59.0,PayPal
159,3/22/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON MKTPLACE WWW.AMAZON.CWA,-9.97,Amazon
160,3/23/2018,DEBIT,DEBIT PURCHASE -VISA SUITE SOLUTIONS 419-4756538 OH,-70.82,Suite Solutions
161,3/23/2018,DEBIT,DEBIT PURCHASE - VISA PAYPAL *MUMBLEBO402-935-7733CA,-2.19,PayPal
162,3/23/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON MKTPLACE AMZN.COM/BILWA,-21.49,Amazon
163,3/23/2018,DEBIT,DEBIT PURCHASE -VISA 1170 GREAT CLIPSLEXINGTON   KY,-20.0,Great Clips
164,3/26/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON MKTPLACE AMZN.COM/BILWA,-45.23,Amazon
165,3/26/2018,DEBIT,DEBIT PURCHASE -VISA BLUE GRASS ENERG888-5464243 KY,-96.94,Blue Grass Energy
166,3/26/2018,DEBIT,ELECTRONIC WITHDRAWAL PARK FCU,-199.09,Park FCU
167,3/30/2018,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,751.73,Conduent
168,3/30/2018,DEBIT,DEBIT PURCHASE -VISA Amazon.com      AMZN.COM/BILWA,-13.77,Amazon
169,3/30/2018,DEBIT,DEBIT PURCHASE -VISA DICK'S SPORTINGGLEXINGTON   KY,-107.03,Dick's
170,3/30/2018,DEBIT,DEBIT PURCHASE -VISA KROGER FUEL #872LEXINGTON   KY,-35.71,Kroger
171,3/30/2018,DEBIT,DEBIT PURCHASE COSTCO WHSE #115LEXINGTON   KY,-54.44,Costco
172,4/2/2018,DEBIT,DEBIT PURCHASE -VISA PP*HUMBLEBUNDL H402-935-7733CA,-12.0,Humble
173,4/2/2018,DEBIT,DEBIT PURCHASE -VISA STEAMGAMES.COM  425-889-9642WA,-1.49,Steam
174,4/3/2018,DEBIT,DEBIT PURCHASE - VISA BLIZZARD ENTERTA949-955-1380CA,-14.99,North Li
175,4/3/2018,DEBIT,DEBIT PURCHASE -VISA LIQUOR BARN-RICHLEXINGTON   KY,-21.19,North Li
176,4/3/2018,DEBIT,WEB AUTHORIZED PMT PL*LeinbachCompa,-730.58,Leinbach Rent
177,4/4/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON MKTPLACE AMZN.COM/BILWA,-31.79,Amazon
178,4/4/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON MKTPLACE AMZN.COM/BILWA,-7.6,Amazon
179,4/6/2018,DEBIT,DEBIT PURCHASE -VISA DELTA DENTAL OF OKEMOS      MI,-25.19,Delta Dental
180,4/6/2018,DEBIT,DEBIT PURCHASE -VISA Amazon.com      AMZN.COM/BILWA,-6.0,Amazon
181,4/6/2018,DEBIT,WEB AUTHORIZED PMT CAPITAL ONE,-251.73,Capital One
182,4/9/2018,DEBIT,DEBIT PURCHASE SAMSCLUB #8188  LEXINGTON   KY,-38.1,Sams Club
183,4/9/2018,DEBIT,DEBIT PURCHASE -VISA DICK'S CLOTHING&LEXINGTON   KY,-25.44,Dick's
184,4/9/2018,DEBIT,DEBIT PURCHASE -VISA WILLIAMS-SONOMA LEXINGTON   KY,-12.68,North Li
185,4/9/2018,DEBIT,DEBIT PURCHASE - VISA Spotify USA     646-8375380 NY,-5.29,Spotify
186,4/9/2018,DEBIT,DEBIT PURCHASE - VISA AmazonPrime Membamzn.com/prmWA,-13.77,Amazon
187,4/10/2018,DEBIT,DEBIT PURCHASE -VISA KROGER FUEL #872LEXINGTON   KY,-15.0,Kroger
188,4/11/2018,DEBIT,DEBIT PURCHASE -VISA AMZN InstallmentAMZN.COM/BILWA,-20.8,Amazon
189,4/11/2018,DEBIT,DEBIT PURCHASE - VISA DSC*DOLLAR SHAVE866-2232780 CA,-3.0,Dollar Shave Club
190,4/12/2018,DEBIT,DEBIT PURCHASE -VISA BLIZZARD ENTERTA949-955-1380CA,-49.99,North Li
191,4/13/2018,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,635.37,Conduent
192,4/13/2018,CREDIT,ATM DEPOSIT US BANK RICHMONDLEXINGTON   KYUS1,71.06,US Bank
193,4/16/2018,DEBIT,DEBIT PURCHASE KROGER #7 4750 HLEXINGTON   KY,-35.66,Kroger
194,4/16/2018,DEBIT,DEBIT PURCHASE -VISA Audible         adbl.co/billNJ,-15.85,Audible
195,4/18/2018,DEBIT,DEBIT PURCHASE -VISA 1170 GREAT CLIPSLEXINGTON   KY,-20.0,Great Clips
196,4/18/2018,DEBIT,DEBIT PURCHASE -VISA KROGER FUEL #872LEXINGTON   KY,-36.33,Kroger
197,4/18/2018,DEBIT,DEBIT PURCHASE KROGER #7 4750 HLEXINGTON   KY,-8.99,Kroger
198,4/19/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON.COM AMZN.AMZN.COM/BILWA,-13.77,Amazon
199,4/19/2018,DEBIT,DEBIT PURCHASE -VISA KROGER #721     LEXINGTON   KY,-15.56,Kroger
200,4/23/2018,DEBIT,DEBIT PURCHASE -VISA BOYD THORNTON   LEXINGTON   KY,-120.0,Boyd Thornton
201,4/23/2018,DEBIT,DEBIT PURCHASE -VISA YELPINC*EATSTREESHOP@YELP.COCA,-18.17,El Taco Luchador
202,4/23/2018,DEBIT,DEBIT PURCHASE -VISA PAYPAL *FANATICA35314369001,-4.99,PayPal
203,4/23/2018,DEBIT,INTERNATIONAL PROCESSING FEE ,-0.09,International Processing Fee
204,4/23/2018,DEBIT,DEBIT PURCHASE -VISA KROGER #721     LEXINGTON   KY,-23.82,Kroger
205,4/23/2018,DEBIT,DEBIT PURCHASE -VISA KROGER #721     LEXINGTON   KY,-40.27,Kroger
206,4/23/2018,DEBIT,DEBIT PURCHASE - VISA PAYPAL *MUMBLEBO402-935-7733CA,-2.19,PayPal
207,4/23/2018,DEBIT,DEBIT PURCHASE -VISA COSTCO WHSE #115LEXINGTON   KY,-9.99,Costco
208,4/23/2018,DEBIT,DEBIT PURCHASE -VISA TARGET        00LEXINGTON   KY,-16.3,Target
209,4/24/2018,DEBIT,DEBIT PURCHASE -VISA SUITE SOLUTIONS 419-4756538 OH,-70.82,Suite Solutions
210,4/24/2018,DEBIT,DEBIT PURCHASE -VISA ROKU FOR HBO    816-272-8106CA,-14.99,HBO
211,4/24/2018,DEBIT,DEBIT PURCHASE -VISA KROGER #407     LEXINGTON   KY,-8.34,Kroger
212,4/24/2018,DEBIT,ELECTRONIC WITHDRAWAL PARK FCU,-199.09,Park FCU
213,4/25/2018,DEBIT,DEBIT PURCHASE -VISA BLUE GRASS ENERG888-5464243 KY,-107.8,Blue Grass Energy
214,4/27/2018,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,651.32,Conduent
215,4/30/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON MKTPLACE AMZN.COM/BILWA,-10.99,Amazon
216,4/30/2018,DEBIT,DEBIT PURCHASE -VISA KROGER #721     LEXINGTON   KY,-32.33,Kroger
217,4/30/2018,DEBIT,DEBIT PURCHASE KROGER #7 4750 HLEXINGTON   KY,-9.17,Kroger
218,5/2/2018,DEBIT,DEBIT PURCHASE -VISA KROGER #721     LEXINGTON   KY,-14.83,Kroger
219,5/2/2018,DEBIT,DEBIT PURCHASE -VISA KROGER #721     LEXINGTON   KY,-7.0,Kroger
220,5/3/2018,DEBIT,WEB AUTHORIZED PMT PL*LeinbachCompa,-729.12,Leinbach Rent
221,5/4/2018,DEBIT,DEBIT PURCHASE KROGER #7 4750 HLEXINGTON   KY,-33.86,Kroger
222,5/7/2018,DEBIT,DEBIT PURCHASE -VISA KROGER #721     LEXINGTON   KY,-31.79,Kroger
223,5/7/2018,DEBIT,DEBIT PURCHASE -VISA KROGER #721     LEXINGTON   KY,-4.67,Kroger
224,5/7/2018,DEBIT,DEBIT PURCHASE -VISA SQ *COMMON GROUNLEXINGTON   KY,-5.49,Common Grounds
225,5/7/2018,DEBIT,CHECK PRINTING CHARGE 180504CHECK/ACC.8410216800                  PPD,-19.72,Check
226,5/8/2018,DEBIT,DEBIT PURCHASE -VISA DELTA DENTAL OF OKEMOS      MI,-25.19,Delta Dental
227,5/9/2018,DEBIT,DEBIT PURCHASE -VISA AMAZON MKTPLACE AMZN.COM/BILWA,-14.79,Amazon
228,5/9/2018,DEBIT,DEBIT PURCHASE - VISA Spotify USA     646-8375380 NY,-5.29,Spotify
229,5/9/2018,DEBIT,DEBIT PURCHASE - VISA AmazonPrime Membamzn.com/prmWA,-13.77,Amazon
230,5/10/2018,DEBIT,DEBIT PURCHASE KROGER #7 4750 HLEXINGTON   KY,-16.15,Kroger
231,5/11/2018,CREDIT,ELECTRONIC DEPOSIT Conduent Bus Svc,1235.11,Conduent
232,5/11/2018,DEBIT,DEBIT PURCHASE -VISA AMZN InstallmentAMZN.COM/BILWA,-16.0,Amazon
233,5/11/2018,DEBIT,DEBIT PURCHASE -VISA KROGER #721     LEXINGTON   KY,-18.01,Kroger
234,5/11/2018,DEBIT,DEBIT PURCHASE -VISA KROGER FUEL #872LEXINGTON   KY,-40.22,Kroger
